territory,slug,n_documents,n_ties,n_board_ties,n_persons,n_companies,n_two_mode_edges,n_interlock_edges,n_corporate_ties,first_year,last_year,n_persons_shared,n_companies_shared,share_persons_shared,share_companies_shared
Dahomey (Bénin),dahomey-benin,26,126,121,108,14,116,1,14,1899,1951,85,7,0.787,0.5
Angola,angola,3,111,91,62,2,66,1,1,1901,1940,10,0,0.161,0.0
Brésil,bresil,10,99,93,43,5,44,1,2,1900,1953,21,0,0.488,0.0
Pérou,perou,1,92,92,30,1,30,0,4,1910,1953,19,0,0.633,0.0
Comores,comores,10,91,88,42,6,55,9,12,1900,1953,32,5,0.762,0.833
Inde (Comptoirs français de l’),inde-comptoirs-francais-de-l,12,63,61,18,3,21,1,0,1922,1953,9,0,0.5,0.0
Bulgarie,bulgarie,2,63,61,31,4,40,1,2,1920,1948,14,0,0.452,0.0
Abyssinie ou Ethiopie,abyssinie-ou-ethiopie,8,58,58,40,3,40,0,4,1921,1937,21,1,0.525,0.333
Chili,chili,2,42,35,26,2,32,1,1,1912,1945,14,0,0.538,0.0
Venezuela,venezuela,3,41,41,18,3,23,1,0,1901,1948,11,0,0.611,0.0
Russie,russie,1,38,38,16,1,16,0,0,1912,1920,8,0,0.5,0.0
Saint-Pierre et Miquelon,saint-pierre-et-miquelon,3,36,36,23,4,31,3,0,1926,1937,6,1,0.261,0.25
Togo,togo,5,32,32,26,4,26,0,2,1921,1948,22,2,0.846,0.5
Terres australes et antartiques françaises,terres-australes-et-antartiques-francaises,6,29,29,21,5,26,3,3,1910,1943,12,1,0.571,0.2
Serbie-Yougoslavie,serbie-yougoslavie,5,28,28,19,2,20,1,2,1907,1910,11,0,0.579,0.0
Guyane hollandaise (Suriname),guyane-hollandaise-suriname,1,25,25,25,1,25,0,2,1895,1938,15,1,0.6,1.0
Siam (Thaïlande),siam-thailande,4,18,18,17,3,17,0,8,1896,1954,6,1,0.353,0.333
Bolivie,bolivie,2,12,12,11,2,12,1,0,1901,1910,0,0,0.0,0.0
Albanie,albanie,1,12,12,11,1,11,0,0,1897,1909,5,0,0.455,0.0
Mauritanie,mauritanie,6,11,10,11,2,11,0,0,1907,1930,8,0,0.727,0.0
Tchad,tchad,4,10,10,8,1,8,0,2,1914,1919,6,1,0.75,1.0
Nigéria,nigeria,1,10,10,9,1,9,0,0,1916,1919,7,1,0.778,1.0
Géorgie,georgie,2,1,1,1,1,1,0,3,1911,1911,0,0,0.0,0.0
