from_company_id,to_company_id,from_name,to_name,n_references
africainemines,vaulrycieux,Société Africaine de Mines,Vaulry et Cieux,1
africainemines,sidibouaouane,Société Africaine de Mines,Sidi-Bou-Aouane,1
africainemines,concessionnaireminesouenza,Société Africaine de Mines,Société Concessionnaire des mines d'Ouenza,1
africainemines,minescavallo,Société Africaine de Mines,Société des mines de Cavallo,1
africainemines,etudesouenza,Société Africaine de Mines,Société d'Études de l'Ouenza,1
africainemines,minesouastamesloula,Société Africaine de Mines,Compagnie des mines de Ouasta et de Mesloula,1
afriquecongo,distilleriesalgeriennes,Afrique et Congo,Société générale de Distilleries algériennes,1
afriquecongo,commercialemediterraneenne,Afrique et Congo,Société Commerciale Méditerranéenne,1
agricolecommercialeindustriellemarocaine,messageriesfluvialescongo,"Compagnie Agricole, Commerciale, Industrielle Marocaine",Messageries fluviales du Congo,1
agricolecommercialeindustriellemarocaine,holdingcoloniale,"Compagnie Agricole, Commerciale, Industrielle Marocaine",La Holding coloniale,1
agricolemaroc,cherifiennecolonisation,Société Agricole du Maroc,Compagnie Chérifienne de colonisation,1
agricolemaroc,etudesnord,Société Agricole du Maroc,Société d'Études du Nord,1
agricolemaroc,developpementcasablanca,Société Agricole du Maroc,Société Générale pour le Développement de Casablanca,1
agricolenordafricain,norteafricano,Société Agricole du Nord-Africain,Norte Africano,1
agricolenordafricain,comptoirminesgrandstravauxmaroc,Société Agricole du Nord-Africain,Comptoir des mines et des grands travaux du Maroc,1
agricolelyonnaisenordafrique,fermegazan,Société Agricole Lyonnaise du Nord de l'Afrique,Ferme de Gazan,1
agricoleoranaise,banquemutuelleetudes,Compagnie Agricole Oranaise,"Banque mutuelle d'études, puis Banque mutuelle d'études et de crédit",1
agricoleoranaise,manufacturetapiscouvertures,Compagnie Agricole Oranaise,Manufacture française de tapis et couvertures,1
agricoleoranaise,nosybeenneindustriesagricoles,Compagnie Agricole Oranaise,Compagnie Nosybéenne d’Industries agricoles,1
agricultureindustriemarocaines,cherifiennecolonisation,L’Agriculture et l’Industrie marocaines,Compagnie Chérifienne de colonisation,1
agricultureindustriemarocaines,foncierecasablanca,L’Agriculture et l’Industrie marocaines,Société Foncière de Casablanca,1
agricultureindustriemarocaines,developpementcasablanca,L’Agriculture et l’Industrie marocaines,Société Générale pour le Développement de Casablanca,1
marocainegazcomprimes,parismarocholdingcherifiengustavegompel,Société Marocaine de Gaz comprimés,"Paris-Maroc, le holding chérifien de Gustave Gompel",1
marocainegazcomprimes,airliquide,Société Marocaine de Gaz comprimés,L'Air liquide,1
marocainegazcomprimes,unionsyndicalefinanciere,Société Marocaine de Gaz comprimés,"Union syndicale financière, puis Compagnie d'exploitations industrielles, électriques et immobilières",1
tunisiennegazcomprimes,airliquide,Société Tunisienne de Gaz comprimés,L'Air liquide,1
tunisiennegazcomprimes,algerienneglacehygieniqueentreposagefrigorifique,Société Tunisienne de Gaz comprimés,Compagnie Algérienne de glace hygiénique et d'entreposage frigorifique,1
tunisiennegazcomprimes,unionsyndicalefinanciere,Société Tunisienne de Gaz comprimés,"Union syndicale financière, puis Compagnie d'exploitations industrielles, électriques et immobilières",1
akkaresbelezma,collectiontitrescoloniauxsergevolper,"Société d'Akkarès, Belezma",Collection de titres coloniaux de Serge Volper,1
ateliersreparationsmaritimesafriquenord,ateliersterrinafriquenord,Ateliers de réparations maritimes de l'Afrique du Nord,Ateliers Terrin de l'Afrique du Nord,1
alfa,madagaskara,L'Alfa,Madagaskara,1
alfasfermentation,etsbertagna,Alfas de fermentation,Éts Bertagna,1
alfasfermentation,phosphatestunisiens,Alfas de fermentation,"Société des Phosphates tunisiens, puis Pierrefitte–Kalaa-Djerba, puis Pierrefitte .",1
alfasfermentation,omniumminesalgerietunisie,Alfas de fermentation,Omnium Société générale de mines d'Algérie-Tunisie,1
alfastunisiens,collectiontitrescoloniauxsergevolper,Compagnie Générale des Alfas tunisiens,Collection de titres coloniaux de Serge Volper,1
algeriennematerielagricole,algerienneconstructionoutillagemachineagricole,Société Algérienne de Matériel agricole,Société algérienne de Construction d'outillage et machine agricole,1
algeriennematerielagricole,huileriessavonneriesalgeriennes,Société Algérienne de Matériel agricole,"Huileries et savonneries algériennes, puis Huilerie et savonnerie de Kabylie, Mirabeau",1
algeriennematerielagricole,delacroixfils,Société Algérienne de Matériel agricole,Delacroix et fils,1
algeriennematerielagricole,collectiontitrescoloniauxsergevolper,Société Algérienne de Matériel agricole,Collection de titres coloniaux de Serge Volper,1
algeriennematerielagricole,vinsmidialgeriebezierssete,Société Algérienne de Matériel agricole,"Cie générale des Vins du Midi et d'Algérie, Béziers, Sète",1
algeriennechauxcimentsusinepointepescade,parismarocholdingcherifiengustavegompel,"Compagnie Algérienne de chaux et ciments, usine de la Pointe-Pescade","Paris-Maroc, le holding chérifien de Gustave Gompel",1
algeriennechauxcimentsusinepointepescade,candlot,"Compagnie Algérienne de chaux et ciments, usine de la Pointe-Pescade",Candlot,1
algeriennechauxcimentsusinepointepescade,affreteursreunis,"Compagnie Algérienne de chaux et ciments, usine de la Pointe-Pescade",Affréteurs réunis,1
algeriennechauxcimentsusinepointepescade,electricitesoukarhas,"Compagnie Algérienne de chaux et ciments, usine de la Pointe-Pescade",Société d'Électricité de Souk-Arhas,1
algeriennechauxcimentsusinepointepescade,cimentsportlandafriquenord,"Compagnie Algérienne de chaux et ciments, usine de la Pointe-Pescade",Ciments Portland de l'Afrique du Nord,1
algeriennecotonniere,collectiontitrescoloniauxsergevolper,Société Algérienne Cotonnière,Collection de titres coloniaux de Serge Volper,1
algerienneeaux,omniumminesalgerietunisie,Société Algérienne des eaux,Omnium Société générale de mines d'Algérie-Tunisie,1
algeriennezinc,minierezellidja,Société Algérienne du Zinc . Anc. Société nord-africaine du plomb,"Société Minière de la Zellidja, puis Mines de Zellidja",1
algeriennehouillesagglomeresalgerphilippevillebougietenesmostaganemarzew,deutscheskohlendepot,"Société Algérienne de Houilles et Agglomérés, Alger, Philippeville, Bougie, Ténès, Mostaganem et Arzew",Deutsches Kohlen Depot,1
algeriennehouillesagglomeresalgerphilippevillebougietenesmostaganemarzew,omniumminesalgerietunisie,"Société Algérienne de Houilles et Agglomérés, Alger, Philippeville, Bougie, Ténès, Mostaganem et Arzew",Omnium Société générale de mines d'Algérie-Tunisie,1
algeriennehouillesagglomeresalgerphilippevillebougietenesmostaganemarzew,charbonac,"Société Algérienne de Houilles et Agglomérés, Alger, Philippeville, Bougie, Ténès, Mostaganem et Arzew",Charbonac,1
algeriennehuilesmineralesstelline,lillebonnierescolombes,Société Algérienne des Huiles minérales Stelline,Lille-Bonnières et Colombes,1
algeriennemateriauxconstruction,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Société Algérienne de matériaux de construction,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,1
algeriennemateriauxconstruction,nordafricaineetudesentreprises,Société Algérienne de matériaux de construction,Société Nord-africaine d'études et d'entreprises,1
algeriennepetrolesstandard,italoamericainepetrole,Compagnie Algérienne des Pétroles Standard,Société Italo-Américaine pour le Pétrole,1
algeriennetransportsparautomobiles,durand,Société Algérienne de Transports par automobiles,Durand,1
allianceafricaineassurancesreassurances,etablissementsjvinson,"Alliance africaine, Compagnie française d'assurances et de réassurances",Établissements J. Vinson,1
annalesafricaines,banqueunionnordafricaine,Annales africaines,Banque de l'union nord-africaine,1
architectescasablanca,comptoirmaroc,Architectes de Casablanca,Comptoir français du Maroc,1
liegesarmstrong,djidjelliplage,Cie des Lièges Armstrong,Djidjelli-Plage,1
liegesarmstrong,fusionneeliegeshamendaspetitekabylie,Cie des Lièges Armstrong,Société fusionnée des Lièges des Hamendas et de Petite-Kabylie,1
royaleasturiennemines,zincmanufacturingcydartford,Compagnie royale Asturienne des Mines,"The Zinc Manufacturing Cy, Dartford",1
ateliersalgeroisconstructionsmecaniques,affreteursreunis,Ateliers algérois de constructions mécaniques,Affréteurs réunis,1
ateliersrabat,fabriquesaubusson,Ateliers de Rabat,Aux Fabriques d'Aubusson,1
atwater,heckmannalgertuniscasablancaagentmaritimearmateurvoyagiste,Atwater & Cie,"Heckmann, Alger, Tunis, Casablanca… Agent maritime, armateur, voyagiste",1
bonmarchealgeroranpriminimealger,bonmarche,Au Bon Marché Alger et Oran et Priminime-Alger,Au Bon Marché,1
bonmarchealgeroranpriminimealger,galeriesfrance,Au Bon Marché Alger et Oran et Priminime-Alger,Galeries de France,1
autocircuitsnordafricains,voyageshotelsnordafricains,Auto-Circuits nord-africains,Société des voyages et hôtels nord-africains,1
grandsmagasinstroissultanes,commercemaroc,Compagnie française des grands magasins Aux Trois Sultanes,Compagnie Générale de Commerce au Maroc,1
banqueetatmaroc,banqueindochine,Banque d'État du Maroc,Banque de l’Indochine,1
banqueetatmaroc,officenordafricain,Banque d'État du Maroc,Office nord-africain,1
banqueetatmaroc,unionindustriellecreditreconstitution,Banque d'État du Maroc,Union industrielle de crédit pour la reconstitution,1
banquefrancotunisiennepretsmobiliersmontspietetunisie,collectiontitrescoloniauxsergevolper,Banque franco-tunisienne de prêts mobiliers et monts-de-piété de Tunisie,Collection de titres coloniaux de Serge Volper,1
banqueitalocreditparistunisbejaangelodonati,agencecollectiverepresentationsindustriellesindochine,"Banque italo-française de crédit, Paris, Tunis, Béja. Angelo Donati",Agence collective de représentations industrielles en Indochine,1
banqueitalocreditparistunisbejaangelodonati,immobiliereitalo,"Banque italo-française de crédit, Paris, Tunis, Béja. Angelo Donati",Société Immobilière Italo-Française,1
banqueitalocreditparistunisbejaangelodonati,industrielleasphaltespetroleslattaquie,"Banque italo-française de crédit, Paris, Tunis, Béja. Angelo Donati",Société industrielle des Asphaltes et pétroles de Lattaquié,1
banqueitalocreditparistunisbejaangelodonati,minesoudjda,"Banque italo-française de crédit, Paris, Tunis, Béja. Angelo Donati",Société des Mines d'Oudjda,1
banqueparisiennemaroc,marocaineconstructionmetallique,Banque parisienne pour le Maroc,Société Marocaine de Construction métallique,1
banqueparisiennemaroc,etainskinta,Banque parisienne pour le Maroc,Société des Étains de Kinta,1
banqueunionmarocaine,creditfoncierfrancomarocain,Banque de l'union marocaine,Crédit foncier franco-marocain,1
banqueunionmarocaine,banqueindustriellechine,Banque de l'union marocaine,La Banque industrielle de Chine,1
banqueunionnordafricaine,banquealgeriebanquealgerietunisiebanquealgerie,Banque de l'union nord-africaine,"Banque de l'Algérie, Banque de l'Algérie et de la Tunisie, Banque de l'Algérie",1
banqueunionnordafricaine,unionsyndicalefinanciere,Banque de l'union nord-africaine,"Union syndicale financière, puis Compagnie d'exploitations industrielles, électriques et immobilières",1
banqueunionnordafricaine,comptoirsgenerauxindochine,Banque de l'union nord-africaine,Comptoirs généraux de l’Indochine,1
banqueunionnordafricaine,omniumlyonnaischeminsfertramways,Banque de l'union nord-africaine,"Omnium lyonnais de chemins de fer et de tramways, puis Omnium lyonnais",1
banqueunionnordafricaine,trustimmobilierfrance,Banque de l'union nord-africaine,Trust immobilier de France,1
banqueunionnordafricaine,navigationcotierealgerienne,Banque de l'union nord-africaine,"Navigation côtière algérienne, puis Entreprise d'acconage et de remorquage Ch. Schiaffino & Cie",1
banqueunionnordafricaine,tonnelleriesmodernes,Banque de l'union nord-africaine,Société des Tonnelleries modernes,1
banqueunionnordafricaine,francoalgeriennewagonsfoudres,Banque de l'union nord-africaine,Société Franco-algérienne des Wagons-foudres,1
banqueunionnordafricaine,moulinscheliff,Banque de l'union nord-africaine,Moulins du Chéliff,1
banqueunionnordafricaine,annalesafricaines,Banque de l'union nord-africaine,Annales africaines,1
banqueunionnordafricaine,agricolenordafricaine,Banque de l'union nord-africaine,Cie Générale Agricole Nord-Africaine,1
banqueunionnordafricaine,agricolealgerienne,Banque de l'union nord-africaine,Société Agricole Algérienne,1
banqueunionnordafricaine,carrieresalgeroises,Banque de l'union nord-africaine,Les Carrières algéroises,1
banqueunionnordafricaine,ouenza,Banque de l'union nord-africaine,Société de l'Ouenza,1
banqueunionnordafricaine,domainesalgeriens,Banque de l'union nord-africaine,Société des Domaines algériens,1
banqueunionnordafricaine,etablissementsjvinson,Banque de l'union nord-africaine,Établissements J. Vinson,1
banqueunionnordafricaine,vignoblesmediterraneedomainemonvilleduzerville,Banque de l'union nord-africaine,"Compagnie des Vignobles de la Méditerranée, domaine de Monville à Duzerville",1
banqueunionnordafricaine,banquenationalecommerceindustrie,Banque de l'union nord-africaine,Banque nationale pour le commerce et l'industrie,1
barrageouedfoddairrigationvalleecheliff,dufourconstructionsgenerales,Barrage de l'oued-Fodda pour l'irrigation de la vallée du Chéliff,Dufour Constructions générales,1
minierebazina,auxiliairemines,"Société minière du Bazina, puis Bazina",Auxiliaire des Mines,1
minierebazina,minesouastamesloula,"Société minière du Bazina, puis Bazina",Compagnie des mines de Ouasta et de Mesloula,1
minierebazina,immobilierefinanciereafricaine,"Société minière du Bazina, puis Bazina",Société Immobilière et financière africaine,1
minierebazina,miniereafema,"Société minière du Bazina, puis Bazina",Compagnie Minière de l’Afema,1
minierebazina,mines,"Société minière du Bazina, puis Bazina","Société des mines de, puis Société minière et agricole du Garn-Alfaya",1
minierebazina,minesboudoukha,"Société minière du Bazina, puis Bazina",Société des mines de Boudoukha,1
domainesbenhassenvallouise,alimentsucreraisin,Domaines de Ben-Hassen et de Val-Louise,Aliment-sucre-raisin,1
manufacturetabacscigarescigarettesabdelkaderbenturqui,manufacturetabacscigarescigarettesjbastos,"Manufacture de tabacs, cigares et cigarettes Abdelkader Ben Turqui et Cie","Manufacture de tabacs, cigares et cigarettes J. Bastos",1
benifelkaiminingcompany,mineskabylie,The Beni-Felkaï Mining Company,Société des Mines de la Kabylie,1
marocainebenimtir,collectiontitrescoloniauxpeterseidel,Société Marocaine des Beni M'Tir,Collection de titres coloniaux de Peter Seidel,1
bernabefreres,algerienneconstructionsnavalesmecaniques,Bernabé frères,Société Algérienne de constructions navales et mécaniques,1
bernabefreres,etssavournin,Bernabé frères,Éts Savournin & Cie,1
bernabefreres,hotelcarlton,Bernabé frères,Hôtel Carlton,1
bernabefreres,immobiliereforteau,Bernabé frères,Immobilière du Fort-de-l'Eau,1
bernabefreres,domainesources,Bernabé frères,Société du Domaine des Sources,1
etudesconstructionunevoieferreebiskraouarglaprolongements,syndicatsoudan,Société d'études pour la construction d'une voie ferrée de Biskra à Ouargla et prolongements,Syndicat du Soudan français,1
etudesconstructionunevoieferreebiskraouarglaprolongements,syndicatlaos,Société d'études pour la construction d'une voie ferrée de Biskra à Ouargla et prolongements,Syndicat français du Laos,1
etudesconstructionunevoieferreebiskraouarglaprolongements,iafriquecentrale,Société d'études pour la construction d'une voie ferrée de Biskra à Ouargla et prolongements,Compagnie Française de I’Afrique centrale,1
etudesconstructionunevoieferreebiskraouarglaprolongements,agricoleindustriellesudalgerien,Société d'études pour la construction d'une voie ferrée de Biskra à Ouargla et prolongements,Société Agricole et Industrielle du Sud-Algérien,1
etudesconstructionunevoieferreebiskraouarglaprolongements,mineslaurium,Société d'études pour la construction d'une voie ferrée de Biskra à Ouargla et prolongements,Compagnie française des Mines du Laurium,1
blachette,tramwaysmessageriessahel,Blachette,Tramways et messageries du Sahel,1
blachette,creditagricolecommercialalgeriencommanditeparactions,Blachette,"Crédit agricole et commercial algérien, société en commandite par actions, puis Crédit agricole, commercial et industriel algérien, S.A.",1
barytecomines,minesdjebelressas,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines",Société des mines du Djebel-Ressas,1
barytecomines,afriquecongo,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines",Afrique et Congo,1
barytecomines,guet,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines","Guët & Cie, puis Guët, Raffard & Cie",1
barytecomines,etudesexploitationsminieresindochine,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines",Société d'Études et d'exploitations minières de l’Indochine,1
barytecomines,zincsalindresberreetang,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines","Compagnie Française du Zinc, Salindres, Berre-l'Étang",1
barytecomines,omniumfrancemaroc,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines",Omnium de France et du Maroc,1
barytecomines,brasseriesmaroc,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines","Société des Brasseries du Maroc, puis Boissons du Maroc",1
barytecomines,liegesmamora,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines","Société des Lièges de la Mamora, puis Compagnie de la Mamora",1
barytecomines,produitschimiquesfrancesaintdenis,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines",Produits chimiques de France à Saint-Denis,1
barytecomines,holdingfrance,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines",La Holding de France,1
barytecomines,phosphatesafriquenord,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines","Cie des Phosphates de l'Afrique du Nord, puis Produits chimiques et phsphates de l'Afrique du Nord, puis Pétroles, Produits chimiques et phosphates et, à nouveau, Phosphates de l'Afrique du Nord",1
barytecomines,produitschimiquesfranceblancscomines,"Société française La Baryte de Comines, puis Produits chimiques et blancs de Comines",Produits chimiques de France & Blancs de Comines,1
boisemballages1947,tonnelleriesmodernes,"Bois et emballages, S.A., 1947",Société des Tonnelleries modernes,1
bonlogis,fermieremarocaineexploitationsagricoles,Le Bon Logis,Compagnie Fermière Marocaine d’Exploitations agricoles,1
bordeauxmaroc,developpementcasablanca,Bordeaux-Maroc,Société Générale pour le Développement de Casablanca,1
bordeauxmaroc,collectiontitrescoloniauxsergevolper,Bordeaux-Maroc,Collection de titres coloniaux de Serge Volper,1
bordelaisemaroc,cherifienneparticipations,"Compagnie Bordelaise du Maroc, puis Bordelaise de commerce au Maroc",Société Chérifienne de participations,1
bouchonnerieinternationale,africaineliegealgerhusseindeyazazga,Bouchonnerie internationale,"Compagnie Africaine du Liège, Alger, Hussein-Dey, Azazga",1
bouchonnerietiziouzou,industrielleliege,Bouchonnerie de Tizi-Ouzou,Société Industrielle du Liège puis Industrielle Algérienne du Liège,1
bouscassegras,industrielleafriquenordtraitementsousproduitsvigneolivier,Bouscasse et Gras,Société Industrielle de l'Afrique du Nord pour le traitement des sous-produits de la vigne et de l'olivier,1
banquealgerotunisiennecommerceexportation,banqueindustrielleafriquenord,Banque algéro-tunisienne pour le commerce d'exportation,Banque industrielle de l'Afrique du Nord,1
banquecolonialenordafricaine,banquecolonialeetudesentreprisesmutuellesditebanquecoloniale,Banque coloniale nord-africaine,Banque coloniale d'études et d'entreprises mutuelles dite Banque coloniale,1
banquecolonialenordafricaine,africainesisaloyenbamparrufisque,Banque coloniale nord-africaine,"Compagnie Africaine de Sisal, Oyenbam, par Rufisque",1
banquefoncierefrancomarocaine,banquepriveeindustriellecommercialecolonialelyonmarseille,Banque foncière franco-marocaine,"Banque privée industrielle, commerciale et coloniale Lyon-Marseille",1
banquefoncierefrancomarocaine,caissehypothecaireegypte,Banque foncière franco-marocaine,Caisse hypothécaire d'Égypte,1
banquefoncierefrancomarocaine,creditfoncierorient,Banque foncière franco-marocaine,Crédit foncier d'Orient,1
banquefoncierefrancomarocaine,creditfonciersyrie,Banque foncière franco-marocaine,Crédit foncier de Syrie,1
banquefoncierefrancomarocaine,domainebeniamar,Banque foncière franco-marocaine,Domaine de Béni-Amar,1
banquefoncierefrancomarocaine,creditfoncierafriqueequatorialebrazzaville,Banque foncière franco-marocaine,"Crédit foncier de l'Afrique équatoriale française, Brazzaville, puis Crédit foncier de l'Afrique française",1
banquefoncierefrancomarocaine,creditfoncierfrancomarocain,Banque foncière franco-marocaine,Crédit foncier franco-marocain,1
banquefoncierefrancomarocaine,banquefoncieremaroc,Banque foncière franco-marocaine,Banque foncière du Maroc,1
banquefrancoalgerienneindustriellecommerciale,foretscalle,Banque franco-algérienne industrielle et commerciale,Forêts de La Calle,1
banquefrancoalgerienneindustriellecommerciale,conservecalle,Banque franco-algérienne industrielle et commerciale,"La Conserve, La Calle",1
banquefrancoalgerienneindustriellecommerciale,industriellegrandepecheportetienne,Banque franco-algérienne industrielle et commerciale,"Société Industrielle de la Grande Pêche, Port-Étienne",1
banquefrancoalgerienneindustriellecommerciale,pechefroidparisboulogne,Banque franco-algérienne industrielle et commerciale,"Pêche et froid, Paris, Boulogne",1
banquefrancoalgerienneindustriellecommerciale,transportsafrique,Banque franco-algérienne industrielle et commerciale,Compagnie Générale de transports en Afrique,1
banquefrancoalgerienne,immobilierebone,Banque franco-algérienne,"Société Immobilière de Bône, puis Immobilière et Maritime de l’Afrique du Nord",1
banquefrancoalgerienne,minescarrieresboumahni,Banque franco-algérienne,Société des Mines et carrières de Bou-Mahni,1
banquemarocaineagriculturecommerceindustrie,syndicatmaroc,"Banque marocaine pour l'agriculture, le commerce et l'industrie",Syndicat général pour le Maroc,1
minesbramranetensift,collectiontitrescoloniauxsergevolper,Cie des Mines du Bramrane-Tensift,Collection de titres coloniaux de Serge Volper,1
minesbramranetensift,collectiontitrescoloniauxpeterseidel,Cie des Mines du Bramrane-Tensift,Collection de titres coloniaux de Peter Seidel,1
brasseriesnordmarocain,brasseriesmaroc,Société des Brasseries du Nord-Marocain,"Société des Brasseries du Maroc, puis Boissons du Maroc",1
brasseriesnordmarocain,brasseriesglacieresindochine,Société des Brasseries du Nord-Marocain,Brasseries et glacières de l’Indochine,1
brasseriesnordmarocain,collectiontitrescoloniauxsergevolper,Société des Brasseries du Nord-Marocain,Collection de titres coloniaux de Serge Volper,1
brasseriesnordmarocain,cherifienneparticipations,Société des Brasseries du Nord-Marocain,Société Chérifienne de participations,1
brasseriesnordmarocain,algerienneoubrasseriealgerienneoran,Société des Brasseries du Nord-Marocain,L'Algérienne ou Brasserie l'Algérienne d'Oran,1
brasseriealgergauloise,collectiontitrescoloniauxsergevolper,Brasserie d'Alger « La Gauloise »,Collection de titres coloniaux de Serge Volper,1
brasseriealgergauloise,algerienneglacehygieniqueentreposagefrigorifique,Brasserie d'Alger « La Gauloise »,Compagnie Algérienne de glace hygiénique et d'entreposage frigorifique,1
brasseriesmaroc,comptoirmaroc,"Société des Brasseries du Maroc, puis Boissons du Maroc",Comptoir français du Maroc,1
brasseriesmaroc,industriellepetrolesmaroc,"Société des Brasseries du Maroc, puis Boissons du Maroc",Compagnie Industrielle des Pétroles au Maroc,1
brasseriesmaroc,transsaharienne,"Société des Brasseries du Maroc, puis Boissons du Maroc",Compagnie Générale Transsaharienne,1
brasseriesmaroc,culturesindustriellesmaroc,"Société des Brasseries du Maroc, puis Boissons du Maroc",Société de Cultures industrielles au Maroc,1
brasseriesmaroc,cherifienneparticipations,"Société des Brasseries du Maroc, puis Boissons du Maroc",Société Chérifienne de participations,1
brasseriesmaroc,carrieresmarocaines,"Société des Brasseries du Maroc, puis Boissons du Maroc",Société des Carrières marocaines,1
brasseriesmaroc,brasseriesouestafricain,"Société des Brasseries du Maroc, puis Boissons du Maroc",Société des Brasseries de l'Ouest Africain,1
brasseriesmaroc,developpementcasablanca,"Société des Brasseries du Maroc, puis Boissons du Maroc",Société Générale pour le Développement de Casablanca,1
brasseriesmaroc,brasseriesnordmarocain,"Société des Brasseries du Maroc, puis Boissons du Maroc",Société des Brasseries du Nord-Marocain,1
brasseriesmaroc,brasseriescoteivoire,"Société des Brasseries du Maroc, puis Boissons du Maroc",Société des Brasseries de la Côte-d'Ivoire,1
